CODE,OLD_CODE,NEW_CODE,NAME,TICKETING_NAME,NUM_CODE
3M,3M,,GULFSTREAM INTERNA,GULFSTREAM,449
3N,3N,URG,AIR URGA,AIRVANTAGE,746
3Q,3Q,CYH,CHINA YUNNAN AIRLI,YUNNAN AIR,592
3R,3R,GAI,GROMOV AIRLINE,GROMOVAIRLINE,520
3S,3S,,AIR ANTILLES EXPRE,AIR ANTILLES,875
3T,3T,URN,TURAN AIR,TURAN AIR,359
3U,3U,,SICHUAN AIRLINES,,876
3V,3V,TAY,TNT AIRWAYS,VIKING AIR,756
3W,3W,,EUROMANX,EUROMANX,482
3X,3X,JAC,JAPAN AIR COMMUTER,J.AIR COMMU,0
3Z,3Z,,EVERTS AIR,,29
4A,4A,,AIR KIRIBATI,,0
4B,4B,PAG,PERIMETER AVIATION,OLSON AIR,234
4C,4C,ARE,AIRES,AIRES,35
4D,4D,ASD,AIR SINAI,AIR SINAI,903
4E,4E,TNR,TANANA AIR SERVICE,TANANA AIR,0
4F,4F,ECE,AIR CITY,AIR-CITY,0
4G,4G,GZP,GAZPROMAVIA,,579
4H,4H,,UNITED AIRWAYS BAN,TRANS PACIFIC,0
4J,4J,,NATIONWIDE AIRLINE,,0
4K,4K,KBA,KENN BOREK AIR,KENN BOREK,0
4M,4M,,LANARGENTINA,LANARGENTINA,469
4N,4N,,AIR NORTH,AIR NORTH,287
4O,4O,AIJ,ABC AEROLINEAS,,0
4Q,4Q,,SAFI AIRWAYS,AEROLYON,0
4R,4R,HHI,HAMBURG INTERNATIO,HAMBURG INTER,0
MP,MP,MPH,MARTINAIR,MARTINAIR,129
MQ,MQ,SYM,AMERICAN EAGLE,SIMMONS AIR,0
MR,MR,MRT,AIR MAURITANIE,AIR MAURITANI,174
MS,MS,MSR,EGYPTAIR,EGYPTAIR,77
MT,MT,,THOMAS COOK AIRLIN,,0
MU,MU,CES,CHINA EASTERN AIRL,CHINA EAST,781
MV,MV,RML,ARMENIAN INTL AIRW,ARMENIAN INTL,904
3I,3I,,AEROLINEAS DEL SUR,AEROLINEAS,393
7T,7T,,AERO EXPRESS DEL E,,0
MW,MW,MYD,MAYA ISLAND AIR,MAYA AIRWAY,0
MX,MX,MXA,MEXICANA,MEXICANA,132
MY,MY,,MAXJET AIRWAYS,MAXJET AIRWAY,386
MZ,MZ,MNA,MERPATI,MERPATI,621
N3,N3,OMS,OMSKAVIA,OMSKAVIA,753
N5,N5,KRS,SKAGWAY AIR SERVIC,,0
N6,N6,,AIR ONE NINE,AEROCONTINENT,819
N7,N7,,LAGUN AIR,LAGUN AIR,504
N8,N8,,CR AIRWAYS LIMITED,,0
N9,N9,NCN,NORDIC SOLUTIONS,NORTHCOAST AV,0
NA,NA,NAO,NORTH AMERICAN AIR,NORTH AMERICA,455
NB,NB,,STERLING,,373
NC,NC,NJS,NATIONAL JET SYSTE,NATIONAL JET,0
ND,ND,,AIRLINK,INTAIR INC.,159
NE,NE,ESK,SKYEUROPE AIRLINES,SKYEUROPE,0
NF,NF,AVN,AIR VANUATU,AIR VANUATU,218
NG,NG,LDA,LAUDA AIR,LAUDA AIR,231
NH,NH,ANA,ALL NIPPON AIRWAYS,ALL NIPPON,205
NI,NI,PGA,PORTUGALIA,PORTUGALIA,685
NJS,NC,NJS,NATIONAL JET SYSTE,NATIONAL JET,0
NK,NK,,SPIRIT AIRLINES,SPIRIT AIRLIN,487
NL,NL,SAI,SHAHEEN AIR INTL,SHAHEEN AIR,740
NM,NM,NZM,AIR MADRID,AIR MADRID,476
NO,NO,,NEOS SPA,,703
NP,NP,,SKYTRANS,PICCOLO,0
NQ,NQ,AJX,AIR JAPAN COMPANY,,0
NR,NR,,PAMIR AIR,NORONTAIR,0
NS,NS,SRJ,CAUCASUS AIRLINES,CAUCASUS AIR,0
NT,NT,IBB,BINTER CANARIAS,BINTER CAN,474
NU,NU,JTA,JAPAN TRANSOCEAN A,JAPAN TRANSOC,353
NV,NV,,AIR CENTRAL,,0
NW,NW,NWA,NORTHWEST AIRLINES,NWEST AIRLI,12
NX,NX,AMU,AIR MACAU,AIR MACAU,675
NY,NY,FNA,AIR ICELAND,AIR ICELAND,882
NZ,NZ,ANZ,AIR NEW ZEALAND,NEW ZEALAND,86
OA,OA,OAL,OLYMPIC AIRLINES,OLYMPIC,50
OB,OB,ASZ,ASTRAKHAN AIRLINES,ASTRAKHAN AIR,562
OC,OC,OAV,OMNI AVIACAO,OMNI AVIACAO,0
OH,OH,COM,COMAIR INC.,COMAIR,886
OI,OI,,ASPIRING AIR SERVI,PARASIDE AIR,0
OJ,OJ,OLA,OVERLAND AIRWAYS,OVERLAND AIR,0
OK,OK,CSA,CZECH AIRLINES CSA,CZECH AIRLINE,64
OL,OL,OLT,OLT OSTFRIESISCHE,OLT,704
OM,OM,MGL,MIAT MONGOLIAN AIR,MIAT,289
ON,ON,RON,AIR NAURU,AIR NAURU,123
OO,OO,SKW,SKYWEST AIRLINES,SKY WEST,302
OP,OP,CHK,CHALK OCEAN AIRWAY,PAN AM AIR,370
OQ,OQ,,CHONGQING AIRLINES,,878
ORB,R2,ORB,ORENAIR,ORENAIR,291
OS,OS,AUA,AUSTRIAN,AUSTRIANAIR,257
OT,OT,PEL,AEROPELICAN AIR SE,AEROPELICAN,0
OU,OU,CTN,CROATIA AIRLINES,CROATIA,831
OV,OV,ELL,ESTONIAN AIR,ESTONIAN AIR,960
OW,OW,EXK,EXECUTIVE AIRLINES,,0
OX,OX,,ORIENT THAI AIRLIN,,578
OY,OY,,ANDES LINEAS AEREA,ANDES,650
OZ,OZ,AAR,ASIANA AIRLINES,ASIANA,988
P4,P4,,AEROLINEAS SOSA,SOSA,0
P5,P5,RPB,AEROREPUBLICA,AEROREPUBLICA,845
P7,P7,ESL,RUSSIAN SKY AIRLIN,EAST LINE AIR,215
P8,P8,PTN,PANTANAL LINHAS AE,PANTANAL LINH,0
P9,P9,,PERM AIRLINES,PERM AIRLINES,188
PA,PA,FCL,FLORIDA COASTAL AI,FLORIDA COAST,0
PB,PB,,PROVINCIAL AIRLINE,AIR BURUNDI,967
PC,PC,FAJ,AIR FIJI,FIJI AIR,677
PF,PF,PNW,PALESTINIAN AIRLIN,PALESTIN AIR,400
PG,PG,BKP,BANGKOK AIRWAYS,BANGKOK AIR,829
PH,PH,PAO,POLYNESIAN AIRLINE,POLYNESIAN,162
PI,PI,SUF,SUNAIR,SUNFLOWER,252
RSI,YI,RSI,AIR SUNSHINE,AIRSUNSHINE,806
RSL,SL,RSL,RIO SUL,RIO SUL,293
PJ,PJ,,AIR SAINT PIERRE,AIR ST PIERRE,638
RSN,ZC,RSN,ROYAL SWAZI AIRWAY,R.SWAZI,141
PK,PK,PIA,PAKISTAN INTERNATI,P I A,214
PL,PL,,SOUTHERN AIR CHART,,0
PM,PM,,TROPIC AIR,TROPIC AIR,0
PN,PN,,CHINA WEST AIR,PAN AM,847
PP,PP,PJS,JET AVIATION BUSIN,JET AVIATION,0
PQ,PQ,,AEROSUR PARAGUAY,PANAFRICAN,0
PR,PR,PAL,PHILIPPINE AIRLINE,PHILIPPINE,79
PS,PS,,UKRAINE INTL AIRLI,UKRAINE INTL,566
PT,PT,,WEST AIR SWEDEN,WEST AIR SWED,0
PU,PU,PUA,PLUNA,P L U N A,286
PV,PV,SBU,SAINT BARTH COMMUT,PAUKNAIR,0
PW,PW,,PRECISION AIR,PRECISION AIR,31
PX,PX,ANG,AIR NIUGINI,AIR NIUGINI,656
PY,PY,SLM,SURINAM AIRWAYS,SURINAM AIR,192
PZ,PZ,LAP,TAM MERCOSUR,LAPSA,692
Q2,Q2,,ISLAND AVIATION SE,,986
Q3,Q3,MAZ,ZAMBIAN AIRWAYS,ZAMBIAN AIR,391
Q4,Q4,,SWAZI EXPRESS AIRW,SWAZI EXPRESS,213
Q5,Q5,MLA,FORTY MILE AIR,FORTY MILES A,519
Q6,Q6,,AERO CONDOR,MINERALNYE VO,381
Q8,Q8,TSG,TRANS AIR CONGO,TRANS AIR,223
Q9,Q9,,QUIKAIR AIRLINE SE,AFRINAT INTL,0
GV,GV,,AERO FLIGHT,AERO FLIGHT,461
3H,3H,AIE,AIR INUIT,,466
GK,GK,,GO ONE AIRWAYS,,274
OF,OF,,AIR FINLAND,,442
RM,RM,,RUTACA,,839
QA,QA,CBE,CLICK GRUPO MEXICA,AEROCARIBE,723
QB,QB,GFG,GEORGIAN NATIONAL,GEORGIAN AIR,399
QE,QE,QFZ,FARS QESHM AIRLINE,CROSSAIR EUR,0
QF,QF,QFA,QANTAS AIRWAYS,QANTAS,81
QG,QG,FLR,DELTA AIR TRANSPOR,PRIMA AIR,574
QH,QH,LYN,KYRGYZSTAN AIR COM,KYRGYZSTAN,138
QI,QI,CIM,CIMBER AIR,CIMBER AIR,647
QJ,QJ,LTP,LATPASS AIRLINES,,937
QK,QK,JZZ,AIR CANADA JAZZ,AIR NOVA,983
QL,QL,LER,LINEA AEREA DE SER,,0
QM,QM,AML,AIR MALAWI,AIR MALAWI,167
QN,QN,,AIR ARMENIA,,907
QO,QO,OGN,ORIGIN PACIFIC AIR,ORIGIN PACIFI,0
QP,QP,,AIRKENYA AVIATION,AIRKENYA AVN,853
QQ,QQ,FWQ,ALLIANCE AIRLINES,ALLIANCE AIR,323
QR,QR,QTR,QATAR AIRWAYS,QATAR AIRWAYS,157
QS,QS,TVS,SMART WINGS,TRAVELSERVICE,797
QT,QT,,REGIONAL PACIFIC,REGIONAL,361
QU,QU,UGX,EAST AFRICAN AIRLI,EAST AFRICAN,581
QV,QV,LAO,LAO AIRLINES,LAO AIRLINES,627
QX,QX,QXE,HORIZON AIR,HORIZON AIR,481
QY,QY,,EUROPEAN AIR TRANS,EUROAIRTRAN,0
QZ,QZ,AWQ,PT INDONESIA AIRAS,PTINDAIRASIA,975
R2,R2,ORB,ORENAIR,ORENAIR,291
R4,R4,,STC RUSSIA,STC RUSSIA,948
R5,R5,JAV,JORDAN AVIATION,MALTA AIR,151
R6,R6,DNU,DANU ORO TRANSPORT,DANU ORO,0
R7,R7,OCA,ASERCA,ASERCA,717
R8,R8,KGA,KYRGYZSTAN AIRLINE,KYRGYZSTAN,758
R9,R9,TSD,TAF LINHAS AEREAS,AIR CHARTER,418
RA,RA,RNA,ROYAL NEPAL AIRLIN,NEPAL AIR,285
RB,RB,SYR,SYRIAN ARAB AIRLIN,SYRIAN AIR,70
RC,RC,FLI,ATLANTIC AIRWAYS,ATL.AIRWAYS,767
RD,RD,RYN,RYAN INTERNATIONAL,RYAN,0
RE,RE,REA,AER ARANN,AER ARANN,809
RF,RF,,ORD AIR CHARTER PT,ORD AIR CHART,0
RG,RG,VRG,VRG LINHAS AEREAS,VARIG SA,42
RH,RH,,ROBIN HOOD AVIATIO,,0
RI,RI,MDL,MANDALA AIRLINES,PT MANDALA,0
RJ,RJ,RJA,ROYAL JORDANIAN,RYLJORDANIA,512
RL,RL,,ROYAL PHNOM PENH A,SV MEXICANAS,0
RN,RN,,SUM AIR SERVICES,EURALAIR,0
RO,RO,ROT,TAROM,TAROM,281
RP,RP,CHQ,CHAUTAUQUA AIRLINE,,363
RQ,RQ,KMR,KAM AIR,AIR ENGIADINA,384
RR,RR,RFR,ROYAL AIR FORCE,R.A.F NO1,0
RT,RT,,RAK AIRWAYS,RAK AIRWAYS,785
RU,RU,SKI,TCI SKYKING LTD,TCI SKYKING,25
SRU,2I,SRU,STAR PERU,,156
RW,RW,,REPUBLIC AIRLINES,RAS FLUGGE,52
RY,RY,,EUROPEAN EXEC EXPR,EUROPEAN EXEC,0
RZ,RZ,LRS,SANSA,PAN AM EXP,0
S2,S2,,JET LITE,JET LITE,705
S3,S3,,SANTA BARBARA AIRL,SANTA BARBARA,249
S4,S4,RZO,SATA INTERNATIONAL,SATA INTL,331
S5,S5,,SHUTTLE AMERICA,SHUTL AMERICA,919
S6,S6,,SALMON AIR,,0
S7,S7,SBI,SIBERIA AIRLINES,SIBERIA AIR,421
S9,S9,HAS,SKY AIR WORLD PTY,EAST AFRICAN,0
SA,SA,SAA,SOUTH AFRICAN AIRW,S A A,83
SB,SB,ACI,AIRCALIN,CAL.INT,63
SC,SC,CDG,SHANDONG AIRLINES,SHANDONG AIRL,324
SD,SD,SUD,SUDAN AIRWAYS,SUDAN AIR,200
SE,SE,XLF,XL AIRWAYS FRANCE,STAR AIRLINES,473
SF,SF,,TASSILI AIRLINES,,515
SG,SG,MOD,SPICEJET,SEMPATI AIR,0
SI,SI,SIH,SKYNET AIRLINES,SKYNET AIR,597
SK,SK,SAS,SCANDINAVIAN AIRLI,SAS,117
SL,SL,RSL,RIO SUL,RIO SUL,293
SM,SM,SWE,SWEDLINE,,496
SN,SN,DAT,BRUSSELS AIRLINES,BRUSSELS AIR,82
SP,SP,SAT,SATA AIR ACORES,SATA,737
SQ,SQ,SIA,SINGAPORE AIRLINES,SINGAPORE,618
SRH,FT,SRH,SIEM REAP AIRWAYS,SIEM REAP AIR,84
SRJ,NS,SRJ,CAUCASUS AIRLINES,CAUCASUS AIR,0
SS,SS,CRL,CORSAIR,CORSE AIR,923
ST,ST,GMI,GERMANIA,GERMANIA,0
SU,SU,AFL,AEROFLOT,AEROFLOT,555
SV,SV,SVA,SAUDI ARABIAN AIRL,SAUDIARABI,65
SW,SW,NMB,AIR NAMIBIA,AIR NAMIBIA,186
SY,SY,SCX,SUN COUNTRY,SUN COUNTRY,337
SZ,SZ,,AIR NEPAL INTERNAT,AIR NEPAL,855
T2,T2,,NAKINA AIR SERVICE,TABA AEREOS,0
T3,T3,,EASTERN AIRWAYS,EASTERN AIR,467
T5,T5,TUA,TURKMENISTAN AIRLI,TURKMENISTAN,542
T6,T6,TVR,TAVREY AIRCOMPANY,TAVREY AIRCO,204
T7,T7,,TWIN JET,TWIN JET,294
T9,T9,,THAI STAR AIRLINES,VARMLANDSFLYG,0
TA,TA,TAI,TACA INTL AIRLINES,TACA,202
V6,V6,VUE,VUELOS INTERNOS PR,,522
TB,TB,JAF,JETAIRFLY,TRUMP,0
TC,TC,ATC,AIR TANZANIA,AIRTANZANIA,197
TD,TD,,ATLANTIS EUROPEAN,ATLANTIS,432
TE,TE,LIL,FLYLAL,FLYLAL,874
TF,TF,SCW,MALMO AVIATION,MALMO,276
TG,TG,THA,THAI AIRWAYS INTL,THAI,217
TH,TH,,BA CONNECT,EUROAIR,0
TI,TI,BIA,ANGKOR AIRLINES,BALTIC INT.,0
TJ,TJ,,TANS,TANS,735
TK,TK,THY,TURKISH AIRLINES,TURKISH,235
TL,TL,ANO,AIRNORTH REGIONAL,AIRNORTH RGL,935
TM,TM,LAM,LAM MOZAMBIQUE,LAM,68
UE,UE,,NASAIR,UAIR,770
TN,TN,THT,AIR TAHITI NUI,AIR TAHITI,244
TO,TO,,TRANSAVIA FRANCE,PRESIDENT AIR,0
TP,TP,TAP,TAP PORTUGAL,TAP PORTUGAL,47
TQ,TQ,TDM,TANDEM AERO,,38
TR,TR,TGW,TIGER AIRWAYS,,0
TS,TS,TSC,AIR TRANSAT,AIR TRANSAT,649
TT,TT,KLA,AIR LITHUANIA,AIR LITHUANIA,843
TU,TU,TAR,TUNISAIR,TUNIS AIR,199
TV,TV,VEX,BRUSSELS AIRLINES,VIRGIN EXPRES,0
TX,TX,,AIR CARAIBES,AIR CARAIBES,427
TY,TY,TPC,AIR CALEDONIE,AIRCALEDONI,190
TZ,TZ,AMT,ATA AIRLINES, INC,ATA-AMTRNSAIR,366
U2,U2,EZY,EASYJET,EASYJET,0
VF,VF,VLU,VALUAIR,VALUAIR,896
U4,U4,,PMT AIR,PMT AIR,253
U5,U5,GWY,USA 3000,USA 3000,336
U6,U6,SVR,URAL AIRLINES,URAL AIRLINES,262
U7,U7,,AIR UGANDA,NORCANAIR,926
U8,U8,,ARMAVIA,ARMAVIA,669
U9,U9,,TATARSTAN AIR,TATARSTAN AIR,966
UA,UA,UAL,UNITED AIRLINES,UNITED,16
UB,UB,UBA,UNITED MYANMAR AIR,UTD MYANMAR,209
UC,UC,LCO,LAN CHILE CARGO,LADECO,0
UD,UD,HER,HEX AIR,HEX AIR,848
UF,UF,UKM,UM AIR,UM AIR,828
UG,UG,TUI,SEVENAIR,TUNINTER,150
YJ,YJ,,AMIYI AIRLINES,,687
UJ,UJ,,SUN FREIGHT,,0
UKM,UF,UKM,UM AIR,UM AIR,828
UKR,6U,UKR,AIR UKRAINE,AIR UKRAINE,891
UKW,5V,UKW,LVIV AIRLINES,LVIV AIRLINES,62
UL,UL,ALK,SRILANKAN AIRLINES,SRILANKAN AIR,603
UM,UM,AZW,AIR ZIMBABWE,AIRZIMBABWE,168
UN,UN,TSO,TRANSAERO AIRLINES,TRANSAERO,670
UO,UO,HKE,HONG KONG EXPRESS,HK EXPRESS,128
UP,UP,BHS,BAHAMASAIR,BAHAMASAIR,111
UQ,UQ,OCM,O CONNOR AIRLINES,O'CONNOR,0
URG,3N,URG,AIR URGA,AIRVANTAGE,746
URN,3T,URN,TURAN AIR,TURAN AIR,359
US,US,USA,US AIRWAYS,US AIRWAYS,37
UU,UU,REU,AIR AUSTRAL,AIR AUSTRAL,760
UV,UV,,HELICOPTEROS DEL S,HELISURESTE,662
UW,UW,UVG,UNIVERSAL AIRLINES,UNIVERSAL AIR,751
UX,UX,AEA,AIR EUROPA,AIR EUROPA,996
UY,UY,UYC,CAMEROON AIRLINES,CAMEROONAIR,604
V2,V2,AKT,KARAT JSC,KARAT JSC,501
V3,V3,KRP,CARPATAIR,VEG AIR SRL,21
V4,V4,,VALAIR,,0
V5,V5,VLI,AVOLAR AEROLINEAS,ROYAL ARUBAN,0
V7,V7,SNG,AIR SENEGAL INTL,AIR SENEGAL,407
V8,V8,IAR,ILIAMNA AIR,CONTACT AIR,0
V9,V9,BTC,BASHKIRIAN AIRLINE,BASHKIR AIR,940
VA,VA,VLE,VOLARE AIRLINES,VOLARE,263
VBW,2J,VBW,AIR BURKINA,AIR BURKINA,226
VC,VC,VAL,VOYAGEUR AIRWAYS,SERVIVENSA,0
VG,VG,VLM,VLM AIRLINES,VLM NEDERLAND,978
VH,VH,,AEROPOSTAL,AEROPOSTAL,152
VJ,VJ,,JATAYU AIRLINES,,0
VL,VL,,SONICBLUE AIRWAYS,VANCOUVER AIR,0
VM,VM,,VIAGGIO AIR,VIAGGIO AIR,424
VN,VN,HVN,VIETNAM AIRLINES,VIETNAM AIR,738
VO,VO,TYR,TYROLEAN AIRWAYS,TYROLEANAIR,734
VP,VP,VSP,VASP,V A S P,343
VQ,VQ,,VINTAGE PROPS AND,,548
VR,VR,TCV,TACV CABO VERDE AI,T A C V,696
KH,KH,,KYRGYZ AIRWAYS,KYRGYZ AIR,365
VX,VX,VUS,VIRGIN AMERICA,VIRGIN USA,984
X7,X7,,AIR SERVICE,AIR SERVICE,594
VS,VS,VIR,VIRGIN ATLANTIC,VIRGIN ATL,932
VT,VT,VTA,AIR TAHITI,AIR TAHITI,135
VU,VU,,AIR IVOIRE,AIR IVOIRE,943
VV,VV,AEW,AEROSVIT AIRLINES,AEROSWEET,870
VW,VW,TAO,AEROMAR,AEROMAR,942
VZ,VZ,MYT,MYTRAVELLITE,,727
W2,W2,EPA,EFATA PAPUA AIRLIN,EFATA PAPUA,0
W4,W4,,MN AVIATION,,0
W5,W5,IRM,MAHAN AIRLINES,MAHAN AIR,537
W7,W7,SAH,SAYAKHAT AIRLINES,SAYAKHAT AIR,271
W8,W8,WND,CARRIBEAN WINDS AI,LA COSTENA,0
W9,W9,,AIR BAGAN,AIR BAGAN,17
WA,WA,KLC,KLM CITYHOPPER,KLM CITYHOPP,0
WB,WB,RWD,RWANDAIR EXPRESS,RWANDAIR,459
WC,WC,ISV,ISLENA AIRLINES,ISLENA AIR,506
WD,WD,DSR,DAIRO AIR SERVICES,DAS AIR,761
WE,WE,,RHEINTALFLUG,RHEINTALFLG,0
WF,WF,WIF,WIDEROE,WIDEROE,701
WG,WG,WSG,SUNWING AIRLINES,WASAYA AIRWAY,0
WH,WH,CNW,CHINA NORTHWEST AI,CHINA NW,783
WI,WI,,TRADEWINDS AIR,,0
WJ,WJ,LAL,AIR LABRADOR,LABRADORAIR,927
WK,WK,EDW,EDELWEISS AIR,EDELWEISS AIR,0
WL,WL,,AEROPERLAS,AEROPERLAS,54
WM,WM,WIA,WINDWARD ISLAND AI,WINDWARD ISL,295
WN,WN,SWA,SOUTHWEST AIRLINES,SW AIRLINES,526
WO,WO,,WORLD AIRWAYS,,468
WP,WP,,ISLAND AIR,ISLAND AIR,347
WQ,WQ,RMV,ROMAVIA,ROMAVIA,534
WS,WS,WJA,WESTJET,WESTJET,838
